Namespace(upscale_factor=3, batchSize=4, testBatchSize=100, nEpochs=30, lr=0.001, cuda=True, mps=False, threads=4, seed=123)
===> Loading datasets
===> Building model
===> Epoch[10](27/50): Loss: 0.0018
===> Epoch[10](28/50): Loss: 0.0065
===> Epoch[10](29/50): Loss: 0.0039
===> Epoch[10](30/50): Loss: 0.0033
===> Epoch[10](31/50): Loss: 0.0039
===> Epoch[10](32/50): Loss: 0.0014
===> Epoch[10](33/50): Loss: 0.0037
===> Epoch[10](34/50): Loss: 0.0048
===> Epoch[10](35/50): Loss: 0.0042
===> Epoch[10](36/50): Loss: 0.0029
===> Epoch[10](37/50): Loss: 0.0025
===> Epoch[10](38/50): Loss: 0.0025
===> Epoch[10](39/50): Loss: 0.0023
===> Epoch[10](40/50): Loss: 0.0051
===> Epoch[10](41/50): Loss: 0.0046
===> Epoch[10](42/50): Loss: 0.0052
===> Epoch[10](43/50): Loss: 0.0031
===> Epoch[10](44/50): Loss: 0.0042
===> Epoch[10](45/50): Loss: 0.0064
===> Epoch[10](46/50): Loss: 0.0027
===> Epoch[10](47/50): Loss: 0.0053
===> Epoch[10](48/50): Loss: 0.0017
===> Epoch[10](49/50): Loss: 0.0038
===> Epoch[10](50/50): Loss: 0.0050
===> Epoch 10 Complete: Avg. Loss: 0.0036
===> Avg. PSNR: 24.2450 dB
Checkpoint saved to model_epoch_10.pth
===> Epoch[11](1/50): Loss: 0.0043
===> Epoch[11](2/50): Loss: 0.0021
===> Epoch[11](3/50): Loss: 0.0028
===> Epoch[11](4/50): Loss: 0.0034
===> Epoch[11](5/50): Loss: 0.0039
===> Epoch[11](6/50): Loss: 0.0026
===> Epoch[11](7/50): Loss: 0.0059
===> Epoch[11](8/50): Loss: 0.0053
===> Epoch[11](9/50): Loss: 0.0034
===> Epoch[11](10/50): Loss: 0.0037
===> Epoch[11](11/50): Loss: 0.0024
===> Epoch[11](12/50): Loss: 0.0047
===> Epoch[11](13/50): Loss: 0.0023
===> Epoch[11](14/50): Loss: 0.0015
===> Epoch[11](15/50): Loss: 0.0036
===> Epoch[11](16/50): Loss: 0.0040
===> Epoch[11](17/50): Loss: 0.0015
===> Epoch[11](18/50): Loss: 0.0033
===> Epoch[11](19/50): Loss: 0.0038
===> Epoch[11](20/50): Loss: 0.0037
===> Epoch[11](21/50): Loss: 0.0054
===> Epoch[11](22/50): Loss: 0.0038
===> Epoch[11](23/50): Loss: 0.0045
===> Epoch[11](24/50): Loss: 0.0034
===> Epoch[11](25/50): Loss: 0.0013
===> Epoch[11](26/50): Loss: 0.0035
===> Epoch[11](27/50): Loss: 0.0010
===> Epoch[11](28/50): Loss: 0.0034
===> Epoch[11](29/50): Loss: 0.0023
===> Epoch[11](30/50): Loss: 0.0026
===> Epoch[11](31/50): Loss: 0.0033
===> Epoch[11](32/50): Loss: 0.0043
===> Epoch[11](33/50): Loss: 0.0020
===> Epoch[11](34/50): Loss: 0.0050
===> Epoch[11](35/50): Loss: 0.0031
===> Epoch[11](36/50): Loss: 0.0039
===> Epoch[11](37/50): Loss: 0.0019
===> Epoch[11](38/50): Loss: 0.0022
===> Epoch[11](39/50): Loss: 0.0033
===> Epoch[11](40/50): Loss: 0.0032
===> Epoch[11](41/50): Loss: 0.0032
===> Epoch[11](42/50): Loss: 0.0033
===> Epoch[11](43/50): Loss: 0.0063
===> Epoch[11](44/50): Loss: 0.0031
===> Epoch[11](45/50): Loss: 0.0041
===> Epoch[11](46/50): Loss: 0.0042
===> Epoch[11](47/50): Loss: 0.0021
===> Epoch[11](48/50): Loss: 0.0057
===> Epoch[11](49/50): Loss: 0.0036
===> Epoch[11](50/50): Loss: 0.0027
===> Epoch 11 Complete: Avg. Loss: 0.0034
===> Avg. PSNR: 24.3132 dB
Checkpoint saved to model_epoch_11.pth
